"","Stream start time","End time","Stream length","Avg Viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"129","Monday 13th February 2017 23:15","Tuesday 14th February 2017 02:15","13","6760","8271","51","3.92","8006","615.85","Invisigun Heroes|Invisigun_Heroes|https://static-cdn.jtvnw.net/ttv-boxart/Invisigun%20Heroes-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Scribblenauts Unlimited|Scribblenauts_Unlimited|https://static-cdn.jtvnw.net/ttv-boxart/Scribblenauts%20Unlimited-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"130","Sunday 12th February 2017 21:30","Monday 13th February 2017 00:15","12","3087","3382","25","2.08","3709","309.08","The Witcher 3: Wild Hunt|The_Witcher_3_Wild_Hunt|https://static-cdn.jtvnw.net/ttv-boxart/The%20Witcher%203:%20Wild%20Hunt-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"131","Thursday 9th February 2017 23:15","Friday 10th February 2017 02:15","13","6210","7351","41","3.15","7083","544.85","The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|For Honor|For_Honor|https://static-cdn.jtvnw.net/ttv-boxart/For%20Honor-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Golf With Your Friends|Golf_With_Your_Friends|https://static-cdn.jtvnw.net/ttv-boxart/Golf%20With%20Your%20Friends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"132","Wednesday 8th February 2017 22:15","Thursday 9th February 2017 01:30","14","5521","6280","102","7.29","13499","964.21","Golf With Your Friends|Golf_With_Your_Friends|https://static-cdn.jtvnw.net/ttv-boxart/Golf%20With%20Your%20Friends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Sonic & All-Stars Racing Transformed|Sonic_and_All-Stars_Racing_Transformed|https://static-cdn.jtvnw.net/ttv-boxart/Sonic%20&%20All-Stars%20Racing%20Transformed-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"133","Monday 6th February 2017 23:15","Tuesday 7th February 2017 02:15","13","6515","7876","82","6.31","10047","772.85","Gang Beasts|Gang_Beasts|https://static-cdn.jtvnw.net/ttv-boxart/Gang%20Beasts-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Disc Jam|Disc_Jam|https://static-cdn.jtvnw.net/ttv-boxart/Disc%20Jam-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"134","Sunday 5th February 2017 21:15","Monday 6th February 2017 00:15","13","2975","3297","58","4.46","5996","461.23","The Witcher 3: Wild Hunt|The_Witcher_3_Wild_Hunt|https://static-cdn.jtvnw.net/ttv-boxart/The%20Witcher%203:%20Wild%20Hunt-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"135","Thursday 2nd February 2017 23:15","Friday 3rd February 2017 02:15","13","6095","6954","75","5.77","8344","641.85","Sonic & All-Stars Racing Transformed|Sonic_and_All-Stars_Racing_Transformed|https://static-cdn.jtvnw.net/ttv-boxart/Sonic%20&%20All-Stars%20Racing%20Transformed-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"136","Wednesday 1st February 2017 22:15","Thursday 2nd February 2017 01:00","12","6062","6565","73","6.08","9477","789.75","Golf With Your Friends|Golf_With_Your_Friends|https://static-cdn.jtvnw.net/ttv-boxart/Golf%20With%20Your%20Friends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"137","Tuesday 31st January 2017 00:15","Tuesday 31st January 2017 03:00","12","7445","8393","78","6.5","7689","640.75","The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Scribblenauts Unlimited|Scribblenauts_Unlimited|https://static-cdn.jtvnw.net/ttv-boxart/Scribblenauts%20Unlimited-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"138","Sunday 29th January 2017 21:30","Monday 30th January 2017 00:45","14","3219","3742","66","4.71","10618","758.43","The Witcher 3: Wild Hunt|The_Witcher_3_Wild_Hunt|https://static-cdn.jtvnw.net/ttv-boxart/The%20Witcher%203:%20Wild%20Hunt-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
