RowNum,StartTime,EndTime,ViewsGained,FollowersGained,MaxViewers,AverageViewers,FollowersPerHour,ViewsPerHour,LengthMinutes,GamesPlayed
53,2017-07-05 21:15:00.000,2017-07-06 00:00:00.000,4341,123,5302,4621,10.25,361.75,180,The Binding of Isaac: Afterbirth|Sonic &amp; All-Stars Racing Transformed|Pictionary
54,2017-07-04 20:45:00.000,2017-07-04 23:45:00.000,2973,63,3432,2742,4.85,228.69,195,PLAYERUNKNOWN'S BATTLEGROUNDS
55,2017-07-03 22:15:00.000,2017-07-04 01:00:00.000,6468,65,5579,5218,5.42,539.00,180,Passpartout: The Starving Artist|Redout|The Jackbox Party Pack 3
56,2017-06-25 20:15:00.000,2017-06-25 23:15:00.000,3921,42,3144,2849,3.23,301.62,195,RimWorld
57,2017-06-22 21:15:00.000,2017-06-23 00:15:00.000,8995,49,5399,4237,3.77,691.92,195,Passpartout: The Starving Artist|Ultimate Chicken Horse|The Jackbox Party Pack 3
58,2017-06-21 21:15:00.000,2017-06-22 00:15:00.000,10494,69,7216,5758,5.31,807.23,195,Bloody Trapland 2: Curiosity|Passpartout: The Starving Artist|London 2012 - The Official Video Game of the Olympic Games
59,2017-06-19 22:15:00.000,2017-06-20 01:15:00.000,5520,63,6896,6015,4.85,424.62,195,HITMAN|Witch It|Family Feud
60,2017-06-18 20:30:00.000,2017-06-18 23:30:00.000,4134,59,3992,3642,4.54,318.00,195,RimWorld
61,2017-06-15 21:15:00.000,2017-06-16 00:15:00.000,7348,31,6052,5048,2.38,565.23,195,Passpartout: The Starving Artist|Who Wants To Be A Millionaire|GoldenEye: Source
62,2017-06-14 21:15:00.000,2017-06-15 00:15:00.000,5209,48,5149,4539,3.69,400.69,195,PLAYERUNKNOWN'S BATTLEGROUNDS|Passpartout: The Starving Artist|London 2012 - The Official Video Game of the Olympic Games
63,2017-06-13 21:15:00.000,2017-06-14 00:00:00.000,3947,44,3578,3098,3.67,328.92,180,PLAYERUNKNOWN'S BATTLEGROUNDS
64,2017-06-13 20:15:00.000,2017-06-13 20:45:00.000,3586,12,2184,1935,4.00,1195.33,45,PLAYERUNKNOWN'S BATTLEGROUNDS
65,2017-06-12 22:15:00.000,2017-06-13 01:00:00.000,5304,26,6233,5523,2.17,442.00,180,Golf It!|Golf With Your Friends|Vertiginous Golf
66,2017-06-11 19:30:00.000,2017-06-11 21:00:00.000,1460,13,3183,2228,1.86,208.57,105,PLAYERUNKNOWN'S BATTLEGROUNDS
67,2017-06-08 21:15:00.000,2017-06-09 00:00:00.000,4617,26,5011,4435,2.17,384.75,180,The Binding of Isaac: Afterbirth|Gang Beasts|GoldenEye|Golf It!
68,2017-06-07 21:15:00.000,2017-06-08 00:15:00.000,5288,26,6043,5151,2.00,406.77,195,Games + Demos|Ultimate Chicken Horse|The Jackbox Party Pack 3
69,2017-06-06 22:15:00.000,2017-06-07 01:30:00.000,4537,82,3806,3398,5.86,324.07,210,PLAYERUNKNOWN'S BATTLEGROUNDS
70,2017-06-05 22:15:00.000,2017-06-06 01:15:00.000,7584,42,5773,4932,3.23,583.38,195,HITMAN|SpeedRunners|GoldenEye: Source
71,2017-06-04 18:45:00.000,2017-06-04 21:45:00.000,3148,32,2581,1864,2.46,242.15,195,Deus Ex: Human Revolution|PLAYERUNKNOWN'S BATTLEGROUNDS
72,2017-06-01 21:00:00.000,2017-06-02 00:15:00.000,5609,53,4856,3929,3.79,400.64,210,Dead Cells|Duck Game|Family Feud Decades
73,2017-05-31 21:15:00.000,2017-06-01 00:15:00.000,5620,50,5527,4643,3.85,432.31,195,PLAYERUNKNOWN'S BATTLEGROUNDS|Golf With Your Friends|The Jackbox Party Pack 3
74,2017-05-30 20:45:00.000,2017-05-31 01:00:00.000,4752,63,3741,3102,3.50,264.00,270,PLAYERUNKNOWN'S BATTLEGROUNDS
75,2017-05-29 22:15:00.000,2017-05-30 01:15:00.000,6059,45,5496,4983,3.46,466.08,195,HITMAN|Helldivers|GoldenEye: Source
76,2017-05-28 20:15:00.000,2017-05-28 23:15:00.000,3194,26,2362,2113,2.00,245.69,195,Deus Ex: Human Revolution
77,2017-05-25 21:15:00.000,2017-05-26 00:15:00.000,5199,49,5081,4548,3.77,399.92,195,Dead Cells|Ultimate Chicken Horse|Pictionary
78,2017-05-24 21:15:00.000,2017-05-25 00:30:00.000,6586,49,5459,4751,3.50,470.43,210,The Binding of Isaac: Afterbirth|GoldenEye: Source|Golf With Your Friends
79,2017-05-22 22:15:00.000,2017-05-23 01:15:00.000,5971,43,5993,5265,3.31,459.31,195,HITMAN|Half Dead|Worms Revolution
80,2017-05-21 20:15:00.000,2017-05-21 23:15:00.000,3448,32,2652,2365,2.46,265.23,195,Deus Ex: Human Revolution
81,2017-05-18 21:15:00.000,2017-05-19 00:00:00.000,7025,47,5533,4902,3.92,585.42,180,Dead Cells|Quake Champions|The Jackbox Party Pack 3
82,2017-05-17 21:15:00.000,2017-05-18 00:30:00.000,6553,44,5413,4803,3.14,468.07,210,Dead Cells|Ultimate Chicken Horse|Golf With Your Friends
83,2017-05-16 21:30:00.000,2017-05-17 01:45:00.000,8288,163,5149,3847,9.06,460.44,270,PLAYERUNKNOWN'S BATTLEGROUNDS
84,2017-05-15 22:15:00.000,2017-05-16 01:00:00.000,5793,45,5966,5462,3.75,482.75,180,HITMAN|WWE 2K16|The Jackbox Party Pack 3
85,2017-05-14 20:15:00.000,2017-05-14 23:15:00.000,3958,17,3131,2743,1.31,304.46,195,Deus Ex: Human Revolution
86,2017-05-11 21:00:00.000,2017-05-12 00:15:00.000,7415,41,6235,4937,2.93,529.64,210,The Binding of Isaac: Afterbirth|Lethal League
87,2017-05-10 21:15:00.000,2017-05-11 00:15:00.000,5321,49,6119,5243,3.77,409.31,195,The Binding of Isaac: Afterbirth|Golf It!|London 2012 - The Official Video Game of the Olympic Games
88,2017-05-08 22:15:00.000,2017-05-09 01:15:00.000,6346,28,5759,5419,2.15,488.15,195,STRAFE|HITMAN|Family Feud Decades
89,2017-05-07 20:00:00.000,2017-05-07 23:30:00.000,5335,36,3505,2936,2.40,355.67,225,Deus Ex: Human Revolution
90,2017-05-04 21:15:00.000,2017-05-05 00:15:00.000,5890,53,5979,5143,4.08,453.08,195,The Binding of Isaac: Afterbirth|Sonic &amp; All-Stars Racing Transformed|The Jackbox Party Pack 3
91,2017-05-03 21:15:00.000,2017-05-04 00:30:00.000,7762,51,6121,5099,3.64,554.43,210,TumbleSeed|Ultimate Chicken Horse|Family Feud Decades
92,2017-05-03 00:45:00.000,2017-05-03 05:00:00.000,8954,2,3462,3116,0.11,497.44,270,PLAYERUNKNOWN'S BATTLEGROUNDS
93,2017-05-01 22:15:00.000,2017-05-02 01:15:00.000,8050,55,6754,6157,4.23,619.23,195,HITMAN|Golf It!|Golf With Your Friends|The Jackbox Party Pack 3
94,2017-04-30 20:00:00.000,2017-04-30 23:15:00.000,7222,78,4729,3681,5.57,515.86,210,PLAYERUNKNOWN'S BATTLEGROUNDS
